key,module,type,category,source,notes
FFImageScalingFactor,Flexo,unknown,data_storage,binary_extract,
FFiMovieIOSImporterNewestSupportedVersion,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFiMovieIOSImporterOldestSupportedVersion,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFiMovieUpgradeLibraryIndex,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFImportIntoLibraryPanelFrame,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
FFImportLastGoToFolderPath,Flexo,string,path_url,binary_extract,URL/path/location
FFImportLocationCurrentURL,Flexo,string,path_url,binary_extract,URL/path/location
FFImportLocationOpenSavePanelDefaultURL,Flexo,string,path_url,binary_extract,URL/path/location
FFImportProxySizingMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFImportSheetCopyToLocationInternal,Final Cut Pro,bool,behavior_toggle,binary_extract,Internal: show copy-to-location in import
FFImportTagsAsKeywordCollectionsKey,Flexo,unknown,data_storage,binary_extract,
FFIndexPath,Flexo,string,path_url,binary_extract,URL/path/location
FFInfoToolChangeDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFInfoToolMaxDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFInfoToolSelectedItemsCount,Flexo,int,numeric_config,binary_extract,Count
FFInspectorAudioEffectsControllerManagerKey,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFInspectorHeaderControllerButtonHide,Flexo,bool,ui_state,binary_extract,UI show/hide state
FFInspectorHeaderControllerButtonShow,Flexo,bool,ui_state,binary_extract,UI show/hide state
FFInspectorLegacyEffectNameEditingDelegateKey,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFInspectorLegacyEffectsRootDelegateKey,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFInspectorModuleCaptionEditorNodeLabelDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFInspectorModuleLibraryPropertiesCacheLocationDefault,Flexo,string,path_url,binary_extract,URL/path/location
FFInspectorModuleLibraryPropertiesMediaLocationDefault,Flexo,string,path_url,binary_extract,URL/path/location
FFInspectorModuleLibraryPropertiesTemplateLocationDefault,Flexo,string,path_url,binary_extract,URL/path/location
FFInspectorModuleProjectSharingHDRContentLightLevel,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFInspectorModuleProjectSharingSaveAsDefault,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFInspectorModuleProjectSharingUpdateToDefault,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFInspectorShowShapeParams,Flexo,int,ui_state,decompiled_source,Accessed via integerForKey; Panel/library state storage
FFInspectorTabModuleSelectedTabIdentifier,Flexo,string,ui_state,decompiled_source,Accessed via stringForKey; Panel/library state storage
FFKenBurnsKeyInterpolationType,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
FFKeywordEditorResignKeyOnEnter,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFKeywordEditorWindowFrame,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
FFKeywordGroups,Flexo,array,data_storage,decompiled_source,Accessed via arrayForKey
FFKeywordsAutoKeywords,Flexo,array,data_storage,decompiled_source,Accessed via arrayForKey
FFKeywordsGroupsVisible,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFLibraryContextThreadKey,Flexo,unknown,data_storage,binary_extract,
FFLibraryCopyTranscodeEnabled,Flexo,bool,behavior_toggle,binary_extract,Transcode during library copy [also accessed via boolForKey/objectForKey in decomp]
FFLibraryHostTimeout,Flexo,number,numeric_config,binary_extract,Timeout [also accessed via integerForKey in decomp]
FFLibraryProjectBackupInterval,Flexo,number,numeric_config,binary_extract,Interval value
FFLibrarySize,Flexo,number,numeric_config,binary_extract,Size/dimensions
FFLMOpenSavePanelDefaultURL,Flexo,string,path_url,binary_extract,URL/path/location
FFLMSelectedURL,Flexo,string,path_url,binary_extract,URL/path/location
FFMDAllProjectsDisplayKeyLibraryURLString,Flexo,string,data_storage,decompiled_source,Accessed via removeObjectForKey/stringForKey
FFMDItemCinematicVideoKey,Flexo,unknown,data_storage,binary_extract,
FFMediaAudioSourceChannelCountKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFMediaAudioSourceChannelLayoutKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFMediaAudioSourceDefaultEnableKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFMediaAudioSourceSampleRateKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFMediaSourceDescriptionChannelMapKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFMediaSourceDescriptionChannelRoutingMapKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFMediaSourceDescriptionMediaKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
